Giorno,Primo,Secondo,Contorno,Dessert,Acqua
Lunedì,Riso freddo,Petto di pollo alla piastra,Patate al forno ,Crostata di albicocche,Acqua naturale
Lunedì,Pasta con sugo di verdure,Cotoletta di pollo,Carote crude julienne,Frutta fresca di stagione,Acqua frizzante
Lunedì,Pasta con pesto alla genovese,Insalata caprese con pomodori mozzarella e basilico,Insalata mista,,
Martedì,Riso basmati saltato con gamberetti e verdure,"Insalatona di pollo, sedano, capperi e emmental",Patate al forno,Budino al cioccolato,Acqua naturale
Martedì,Crespelle al prosciutto,Vitello tonnato,Zucchine saltate,Frutta fresca di stagione,Acqua frizzante
Martedì,Pasta alla puttanesca,Petto di pollo alla griglia,Insalata mista ,,
Mercoledì,Insalata di farro ceci e verdure,Omelette con prosciutto e fontina,Patate al forno ,Crem caramel,Acqua naturale
Mercoledì,Pasta con sugo di tonno e limone in bianco,Petto di pollo alla griglia,Carote e piselli al burro ,Frutta fresca di stagione,Acqua frizzante
Mercoledì,Pasta al pomodoro,Prosciutto e melone,Insalata mista ,,
Giovedì,"Pasta fredda con pomodorini, zucchine, mozzarella e basilico",Scaloppine di pollo al limone,Patate al forno ,Budino al cioccolato,Acqua naturale
Giovedì,Crespelle ricotta e spinaci,Insalata Nizzarda con tonno - uova sode e pomodori,Fagiolini conditi,Frutta fresca di stagione,Acqua frizzante
Giovedì,Gnocchi al pomodoro,Petto di pollo alla griglia,Insalata mista ,,
Venerdì,Gnocchi al pesto,Insalata greca con pomodori - feta e cetrioli,Patate al forno,Torta da forno del giorno,Acqua naturale
Venerdì,Pasta cacio e pepe,Polpette di pesce,Insalata di legumi misti con pomodorini,Frutta fresca di stagione,Acqua frizzante
Venerdì,Pasta al pomodoro,Petto di pollo alla griglia,Insalata mista,,
